***
Some things have gotten removed such as:
- tatsuro yamashita - ride on time, etc.
- some dreamcatcher b sides - some kind of licensincg rereleas of music, will have to add songs back to playlist

so I will also keep old version of playlist
***

986  Items In Playlist
Dua Lipa - Don't Start Now (Official Music Video) :  Dua Lipa
Muse - Knights Of Cydonia  (Video) :  Muse
The Jimi Hendrix Experience - Hey Joe (Official Audio) :  Jimi Hendrix
Wes Montgomery Trio - Days of Wine and Roses :  60otaku4
Wes Montgomery - Round Midnight :  jazzytaka
A very talented guitar player! Just showing a trick he mastered. :  Gustaf van Niekerk
Bon Jovi - You Give Love A Bad Name (Official Music Video) :  Bon Jovi
Bon Jovi - Livin' On A Prayer :  Bon Jovi
The Rubberband Man :  The Spinners - Topic
Earth, Wind &amp; Fire - September (Official HD Video) :  Earth Wind &amp; Fire
Earth, Wind &amp; Fire - Boogie Wonderland (Official Video) :  Earth Wind &amp; Fire
Chet Baker - Tenderly :  Coui0112358
Saria's Song ft. Adam Neely - Contemporary Jazz Orchestra Cover (The 8-Bit Big Band) :  The 8-Bit Big Band
Ryan Anthony performs GABRIEL'S OBOE at CancerBlows 2015 :  CancerBlows
Ryan Anthony - Penny lane :  CancerBlows
Unforgettable - Nat 'King' Cole :  Sam Novak
Nat King Cole - Orange Colored Sky :  Luar Furtado
Sonic Mania OST - Mirage Saloon Act 2 :  Sonic the Hedgehog
Princess Leia's Theme :  John Williams - Topic
La de da de da de da de day oh :  bill wurtz
Cantina Band :  John Williams - Topic
Laufey - I Wish You Love (Official Audio) :  Laufey
Charles Trenet - Que Reste-T-il De Nos Amours :  FePiu
Nat King Cole / I Wish You Love :  JazzysCookie
Chet Baker - But Not For Me :  betttyblue
R.E.M. - It's The End Of The World As We Know It (And I Feel Fine) :  remhq
Billy Joel - We Didn't Start the Fire (Official HD Video) :  Billy Joel
&quot;L' Amour Toujours&quot; - STREET SAX PERFORMANCE :  Daniele Vitale Sax
The Legendary NYC A-Train Sax Battle (Super Cut) :  SilentHippo
Stan Rogers - The Mary Ellen Carter :  MinistryofStabbing
Miles Davis Quintet - 'Round Midnight :  60otaku4
Getting Over It with Bennett Foddy Soundtrack | Soul &amp; Mind - E's Jammy Jam :  Thoprath Music
Bill Evans, 'Round Midnight :  Levent Parman
The Freedom of Fretless Bass :  Remco's Groove Lab
Miles Davis - Dear Old Stockholm :  jazzhole13
Stevie Wonder - Sir Duke [HD] :  ChEeZeBaLL999
Stranger Things Theme Song (C418 REMIX) :  recycle bin
Dizzy Gillespie - Bebop :  Peruanas0
Howard Jones - Things Can Only Get Better :  howardjonesmusic
Frankie Valli - Can't Take My Eyes Off You (Official Audio) :  RHINO
Twenty One Pilots - Saturday (Lyric Video) :  twenty one pilots
Cant Take My Eyes Off You - Frankie Valli and The 4 Seasons + lyrics :  MrMikeLyrical
Frankie Valli &amp; The Four Seasons - Who Loves You (Official Music Video) :  RHINO
Frankie Valli &amp; The Four Seasons - December, 1963 (Oh, What a Night) (Official Music Video) :  RHINO
Sure Sure - Receive (Official Audio + Visualizer) :  Sure Sure
Careless Whisper - Vintage 1930's Jazz Wham! Cover feat. Robyn Adele Anderson &amp; Dave Koz :  PostmodernJukebox
Castaways (ft. Martina DaSilva and Rotem Sivan) :  Adam Neely 2
At Your Mother's House :  Rachael &amp; Vilray - Topic
Harry James and Frank Sinatra. Stardust.wmv :  STAN WAKEFIELD
【Rainych】 SAY SO - Doja Cat | Japanese Version (cover) :  Rainych Ran
Oscar Peterson Trio  &amp; Clark Terry - Misty :  All That Jazz Don Kaart
Nat King Cole - Autumn Leaves :  PUNISHER6002
Super Mario World Ending Theme sight-read by Tom Brier :  Keeper1st
Tom Brier plays Maple Leaf Rag in A, G, B, and as a waltz in B :  Keeper1st
California Girls (Stereo) :  The Beach Boys
Howl's Moving Castle [OST - Theme Song] :  ghibliggy
Friday I'm in Love :  The Imaginary Trio - Topic
Nat King Cole &quot;Just One Of Those Things&quot; on The Ed Sullivan Show :  The Ed Sullivan Show
Soul &amp; Mind - E's Jammy Jam :  William Robert
Nat king cole, Nature Boy :  Hugo Marques
Someone In The Crowd :  Emma Stone - Topic
A Lovely Night :  Ryan Gosling - Topic
Plastic BASS :  Davie504
One SLAP Man :  Davie504
Hot Collie Bounce :  WolfdogMusic
Clifford Brown &amp; Max Roach - Joy Spring :  Santoszzz
Clifford Brown &amp; Max Roach - Joy Spring :  Santoszzz
Miles Davis - Milestones (Official Audio) :  Miles Davis
I Wish You Love - Laufey (Cover) :  Laufey
José González - Stay Alive :  José González
The Hobbit: The Desolation of Smaug - Ed Sheeran &quot;I See Fire&quot; [HD] :  Warner Bros. Pictures
Khalid - Talk (Official Video) :  Khalid
The lion sleeps tonight but it’s uncomfortable :  MisterSenpaii
Marshmello - Alone (Official Music Video) :  Marshmello
Marshmello - Take It Back (Official Music Video) :  Marshmello
half•alive - still feel. [OFFICIAL VIDEO] :  half•alive
Blueberry Eyes X Mad At Disney - MAX (Feat. SUGA of BTS) &amp; Salem Ilese :  MAX
Glass Animals - Heat Waves (Official Video) :  Glass Animals
Install Linux instead of Windows 11 - Here's how! :  Linus Tech Tips
khai dreams - Sunkissed (Official Video) :  khai dreams
Olivia Rodrigo - good 4 u (Official Video) :  Olivia Rodrigo
Rex Stewart - I'm True To You :  JazzinJive
Nick Travis-Tenderly w Elliot Lawrence Big Band 1950's :  JJ Martin
Chet Baker and the Lighthouse All-Stars - At Last :  60otaku4
At Last :  Miles Davis
half·alive - Summerland (Official Video) :  half•alive
Ella Fitzgerald &amp; Louis Armstrong - The Nearness Of You :  Aristo07
Frank Sinatra - I'll Be Seeing You 1944 Tommy Dorsey &amp; His Orchestra :  ScrambledEggs1969
Frank Sinatra Harry James Orchestra  &quot;All or Nothing at All&quot; :  catman916
Harry James, Sleepy Lagoon..wmv :  STAN WAKEFIELD
&quot;Potato Head Blues&quot; Louis Armstrong &amp; His Hot Seven on Okeh 8503 recorded May 10, 1927 :  Tim Gracyk
Clifford Brown - &quot;Stardust&quot; :  SpatialBlues
Clifford Brown - Smoke Gets In Your Eyes :  Lalo Cabañas
Clifford Brown - Embraceable You :  LuigiRuscello
JUJUTSU KAISEN - Ending | Lost in Paradise feat. AKLO :  Crunchyroll
Ginger Root - &quot;Loretta&quot; (Official Music Video) :  Ginger Root
Louis Armstrong - Hello Dolly :  Austin Casey
They GAVE Me A Grand Piano... Here's me playing it :  Charles Cornell
Junko Ohashi - I Love You So :  Noah Gonzalez
Taeko Ohnuki - 4:00 AM - 1978 :  TheAmuseum
Let You Break My Heart Again - Laufey &amp; Philharmonia Orchestra (Official Audio) :  Laufey
Harry james - Trumpet Blues 1944 With original stereo movie soundtrack :  Vas-Schwarcz Géza
Chet Baker - Almost blue :  Sweetydu972M
Chet Baker - I Wish You Love :  pelodelperro
Miles Davis Quintet - It Never Entered My Mind :  60otaku4
nat king cole  caravan :  marlondavis1000
That Old Feeling / Chet Baker :  hk613
Grover Washington Jr. feat. Bill Withers - Just The Two of Us [HQ] :  Claudinho Viana II
Lucky Chops - Danza 2016 (Live in the NYC Subway) :  Lucky Chops
Lucky Chops - It's Not Goodbye (Studio Video) :  Lucky Chops
Liftoff :  ANDREW HUANG
The Hill :  ANDREW HUANG
The Cruel Angel's Thesis (Director's Edit Version) :  Yoko Takahashi - Topic
Trains    (by Blue Note Tokyo All star Jazz Orchestra)w/Peter Erskine,  Bob James,  Eric Miyashiro :  Eric Miyashiro
中原めいこ Nakahara Meiko - Fantasy :  LazySundayPlans
光るなら／Goose house :  Goose house
高嶺の花子さん／back number （Cover） :  Goose house
The Tokens - The Lion Sleeps Tonight (Wimoweh) (Audio) :  tokenvideos
Acapella Soul - The Lion Sleeps Tonight :  TJIMC
You Made Me Love You - Harry James / Helen Forrest :  iTubeNL
Just The Two Of Us but it's on BASS :  Davie504
Taking the caffeine out of Red Bull so I can drink it at night :  NileRed
Quake Theme :  Nine Inch Nails
Yakuza OST - Baka Mitai (ばかみたい) Kiryu full version :  Senshi Ongaku
Billie Holiday &amp; Louis Armstrong - New Orleans :  bessjazz
Super Mario Odyssey - Jump Up, Super Star! :  MuttonBashers
MEUTE - Hey Hey (Dennis Ferrer Rework) :  MEUTE
Yasuha (泰葉) - Flyday Chinatown フライディ・チャイナタウン カバー :  Fujii Kaze
Everytime We Touch Lyrics :  KyoSohmaCat101
Bruno Mars, Anderson .Paak, Silk Sonic - Skate [Official Music Video] :  Bruno Mars
Bruno Mars, Anderson .Paak, Silk Sonic - Skate [Official Music Video] :  Bruno Mars
The Doobie Brothers: What A fool Believes (1979) Classic Rock R&amp;B, and Pop :  2chann
Last Train Home - Pat Metheny Group :  cascade6060
The Girl From Ipanema :  Martina DaSilva
The Platters - The Great Pretender (Original Footage HD) :  Solrac Etnevic
The Platters - Smoke Gets In Your Eyes :  OldManCrankyCane
Stan Rogers - Northwest Passage :  MoonfirespamAM
Ben E. King - Stand By Me (Audio) :  Soulful Sounds
Stan Rogers - Barrett's Privateers :  bytor21122112
Artie Shaw  - Beguin The Beguine ( Cole Porter ) :  Arnold Beltran
Clementine - Jean Goldkette &amp; His Orchestra (w Bix Beiderbecke) (1927) :  Atticus Jazz
Singin The Blues - Bix Beiderbecke :  fskeptical
Cat Anderson El Gato :  Geoff Winstead
Glenn Miller - In The Mood [HQ] :  symir547
Feels So Good :  Chuck Mangione - Topic
Gerry Mulligan Quartet with Chet Baker - Stardust :  ldowat
Kokoroko - ABUSEY JUNCTION // WE OUT HERE :  Brownswood Recordings
真夜中のドア/Stay With Me :  Miki Matsubara Official &quot;stay with me&quot;
Fleetwood Mac - Dreams [with lyrics] :  muzicchnl
ODESZA - Higher Ground (feat. Naomi Wild) - Lyric Video :  ODESZA
Ella F. and Louis Armstrong - Let's Call the Whole Thing Off :  Irracional182
more than a dream :  bill wurtz
Rolling Down The Street, In My Katamari :  Fearofdark
Boston - Peace of Mind (Official Audio) :  Boston
Anarchy - Calio (FitMC Anarchy Collection) :  notcalio
Blue Mitchell Quartet - I'll Close My Eyes :  60otaku4
Outkast - Hey Ya! (Official HD Video) :  Outkast
Monty Python and the Holy Grail- Intermission Music :  Slycovian
Ray Charles   I Can't Stop Loving You :  HK
Mariya Takeuchi -  Plastic Love (Official Music Video) :  Mariya Takeuchi
Bruno Mars, Anderson .Paak, Silk Sonic - Put On A Smile [Official Audio] :  Bruno Mars
JVKE – Upside Down (feat. Charlie Puth) [Official Audio] :  JVKE
92914 - Okinawa (Audio) :  92914
Fire In The Sky :  Anderson Paak
Bruno Mars, Anderson .Paak, Silk Sonic - Fly As Me [Official Audio] :  Bruno Mars
The Flamingos - I Only Have Eyes For You :  TahoeThom
Dean Martin - Everybody Loves Somebody (Official Audio) :  Dean Martin
how deep is your love l cover (ENG SUB) :  정아로 / ARO
